enalapril,"Kategoria: Niewydolność serca: inhibitory ACE i sartany (układ R-A-A)
Grupa: inhibitor konwertazy angiotensyny (ACE-I)
Mechanizm: hamuje przekształcenie angiotensyny I w II → hamowanie uwalniania aldosteronu (zatrzymanie sodu i wody) + zaburzona degradacja kinin
Skutek: rozszerzenie naczyń krwionośnych, zmniejszenie zastoju krwi, ↓ ciśnienia tętniczego
Zastosowanie: nadciśnienie, zastoinowa niewydolność serca
Przeciwwskazania: ciąża i laktacja (teratogenny)
Niepożądane: hipotensja, biegunka, brak apetytu, kaszel, obrzęk naczynioruchowy, ataksja, apatia, zmiany skórne i behawioralne, zaburzenia hematologiczne
Dodatkowe: osoczowy"
"ramipril, benazepril","Kategoria: Niewydolność serca: inhibitory ACE i sartany (układ R-A-A)
Grupa: ACE-I
Mechanizm: hamuje przekształcenie angiotensyny I w II → hamowanie uwalniania aldosteronu (zatrzymanie sodu i wody) + zaburzona degradacja kinin
Skutek: rozszerzenie naczyń krwionośnych, zmniejszenie zastoju krwi, ↓ ciśnienia tętniczego
Zastosowanie: nadciśnienie, zastoinowa niewydolność serca
Przeciwwskazania: ciąża i laktacja (teratogenny)
Niepożądane: hipotensja, biegunka, brak apetytu, kaszel, obrzęk naczynioruchowy, ataksja, apatia, zmiany skórne i behawioralne, zaburzenia hematologiczne
Dodatkowe: tkankowy (najważniejszy); benazepril eliminowany przez nerki i wątrobę"
imidapril,"Kategoria: Niewydolność serca: inhibitory ACE i sartany (układ R-A-A)
Grupa: ACE-I
Mechanizm: hamuje przekształcenie angiotensyny I w II → hamowanie uwalniania aldosteronu (zatrzymanie sodu i wody) + zaburzona degradacja kinin
Skutek: rozszerzenie naczyń krwionośnych, zmniejszenie zastoju krwi, ↓ ciśnienia tętniczego
Zastosowanie: nadciśnienie, zastoinowa niewydolność serca
Przeciwwskazania: ciąża i laktacja (teratogenny)
Niepożądane: hipotensja, biegunka, brak apetytu, kaszel, obrzęk naczynioruchowy, ataksja, apatia, zmiany skórne i behawioralne, zaburzenia hematologiczne
Dodatkowe: tkankowy"
telmisartan,"Kategoria: Niewydolność serca: inhibitory ACE i sartany (układ R-A-A)
Grupa: sartany
Mechanizm: blokowanie receptora dla angiotensyny II (podtyp 1 — AT1); działa bezpośrednio przez blokowanie receptora
Skutek: ↓ ciśnienia tętniczego
Zastosowanie: nadciśnienie tętnicze, białkomocz (przewlekła choroba nerek u kotów)
Przeciwwskazania: nie zgłoszono
Niepożądane: wymioty, nadmierne ślinienie, biegunka
Dodatkowe: stosowany u kotów"
spironolakton,"Kategoria: Niewydolność serca: inhibitory ACE i sartany (układ R-A-A)
Grupa: antagonista receptora aldosteronowego
Mechanizm: konkurencyjnie wiąże się z receptorami dla aldosteronu w nerkach, sercu i naczyniach → zaburza zwrotne wchłanianie sodu w dystalnym odcinku → oszczędza potas; hamuje włóknienie i przebudowę serca
Skutek: wzrost wydalania sodu i wody, ↓ ciśnienia, hamowanie remodelingu
Zastosowanie: zastoinowa niewydolność serca (szczególnie prawokomorowa)
Przeciwwskazania: psy przeznaczone do hodowli, psy z hiperkaliemią lub hiponatremią; nie stosować z NLPZ; psy z uszkodzoną wątrobą
Niepożądane: hiperkaliemia, hiponatremia, efekty antyandrogenne (poronienia u psów rosnących), zaburzenia czynności wątroby
Dodatkowe: można łączyć z pimobendanem i furosemidem; z GS lub NLPZ spada jego działanie; z inhibitorami ACE ryzyko hiperkaliemii; stosowany z benazeprilem"
"propranolol, sotalol, karazolol","Kategoria: Niewydolność serca / nadciśnienie: β-adrenolityki (β-blokery)
Grupa: nieselektywne (β1, β2)
Mechanizm / skutek: blokada receptorów β w sercu, naczyniach, płucach (oskrzela), OUN → spowolnienie pracy serca, obniżenie pojemności minutowej
Zastosowanie: arytmia, nadciśnienie, niewydolność krążenia
Niepożądane: bradykardia, trudności w oddychaniu, skurcz oskrzeli"
"atenolol, esmolol","Kategoria: Niewydolność serca / nadciśnienie: β-adrenolityki (β-blokery)
Grupa: selektywne β1
Mechanizm / skutek: jw., bez wpływu na β2
Zastosowanie: arytmia, nadciśnienie, niewydolność krążenia
Niepożądane: bradykardia, spowolnienie pracy serca"
"metoprolol, bisoprolol","Kategoria: Niewydolność serca / nadciśnienie: β-adrenolityki (β-blokery)
Grupa: selektywne β1
Mechanizm / skutek: jw., bez wpływu na β2
Zastosowanie: arytmia, nadciśnienie, niewydolność krążenia
Niepożądane: bradykardia"
karwedilol,"Kategoria: Niewydolność serca / nadciśnienie: β-adrenolityki (β-blokery)
Grupa: β-bloker + α1-bloker (naczyniorozszerzający)
Mechanizm / skutek: blokada β + α1 → dodatkowo rozszerzenie naczyń
Zastosowanie: niewydolność serca, nadciśnienie
Niepożądane: hipotensja, bradykardia"
digoksyna,"Kategoria: Glikozydy nasercowe (NAPARSTNICA)
Zastosowanie: przewlekła niewydolność serca, migotanie przedsionków
Przeciwwskazania: zaburzenia rytmu z bradykardią, bloki serca, zaburzenia rytmu pochodzenia komorowego, kardiomiopatia przerostowa, wczesny okres po zawale
Niepożądane: bradykardia, wymioty, biegunka, apatia, senność, bloki serca, arytmie, migotanie komór
Dodatkowe: psy, koty, konie; niski współczynnik terapeutyczny; wchłania się z pp; max działanie po 6–8 h"
